fecha,riesgo_pais
2025-09-22,1089.0
2025-09-23,1018.0
2025-09-24,898.0
2025-09-25,973.0
2025-09-26,1060.0
2025-09-27,1060.0
2025-09-29,1115.0
2025-09-30,1222.0
2025-10-01,1264.0
2025-10-02,1264.0
2025-10-03,1165.0
2025-10-06,1080.0
2025-10-07,1016.0
2025-10-08,1074.0
2025-10-09,1071.0
2025-10-10,932.0
2025-10-13,932.0
2025-10-14,1026.0
2025-10-15,1004.0
2025-10-16,1029.0
2025-10-17,1089.0
2025-10-20,1048.0
2025-10-21,1075.0
2025-10-22,1123.0
2025-10-23,1081.0
2025-10-24,1081.0
2025-10-27,708.0
